prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
1,PK-00001,Laptop Basic,800,Electronics,2023-01-01 00:00:00,2024-12-31 23:59:59
2,PK-00002,Mouse Wireless,25,Accessories,2023-01-01 00:00:00,2024-12-31 23:59:59
3,PK-00003,Keyboard Mechanical,70,Accessories,2023-01-01 00:00:00,2024-12-31 23:59:59
4,PK-00004,Monitor 24inch,150,Electronics,2023-01-01 00:00:00,2024-12-31 23:59:59
5,PK-00005,Webcam HD,45,Accessories,2023-01-01 00:00:00,2024-12-31 23:59:59
6,PK-00006,Desk Chair Ergo,120,Office Furniture,2023-01-01 00:00:00,2024-12-31 23:59:59
7,PK-00007,External SSD 1TB,90,Storage,2023-01-01 00:00:00,2024-12-31 23:59:59
8,PK-00008,USB-C Hub,30,Accessories,2023-01-01 00:00:00,2024-12-31 23:59:59
9,PK-00009,Printer Inkjet,95,Electronics,2023-01-01 00:00:00,2024-12-31 23:59:59
10,PK-00010,Speakers Bluetooth,50,Audio,2023-01-01 00:00:00,2024-12-31 23:59:59
11,PK-00011,Tablet 10inch,250,Electronics,2023-01-02 00:00:00,2024-12-31 23:59:59
12,PK-00012,Headphones ANC,180,Audio,2023-01-02 00:00:00,2024-12-31 23:59:59
13,PK-00013,Router Wi-Fi 6,110,Networking,2023-01-02 00:00:00,2024-12-31 23:59:59
14,PK-00014,Smartwatch Sport,199,Wearables,2023-01-02 00:00:00,2024-12-31 23:59:59
15,PK-00015,Gaming Console,399,Gaming,2023-01-02 00:00:00,2024-12-31 23:59:59
16,PK-00016,VR Headset,299,Gaming,2023-01-02 00:00:00,2024-12-31 23:59:59
17,PK-00017,Action Camera,220,Photography,2023-01-02 00:00:00,2024-12-31 23:59:59
18,PK-00018,Drone Mini,150,Drones,2023-01-02 00:00:00,2024-12-31 23:59:59
19,PK-00019,Portable Projector,280,Electronics,2023-01-02 00:00:00,2024-12-31 23:59:59
20,PK-00020,E-Reader,85,Electronics,2023-01-02 00:00:00,2024-12-31 23:59:59
21,PK-00021,Laptop Advanced,1200,Electronics,2023-01-03 00:00:00,2024-12-31 23:59:59
22,PK-00022,Gaming Mouse,40,Accessories,2023-01-03 00:00:00,2024-12-31 23:59:59
23,PK-00023,Ergonomic Keyboard,100,Accessories,2023-01-03 00:00:00,2024-12-31 23:59:59
24,PK-00024,Curved Monitor,250,Electronics,2023-01-03 00:00:00,2024-12-31 23:59:59
25,PK-00025,4K Webcam,70,Accessories,2023-01-03 00:00:00,2024-12-31 23:59:59
26,PK-00026,Standing Desk,200,Office Furniture,2023-01-03 00:00:00,2024-12-31 23:59:59
27,PK-00027,Internal SSD 2TB,180,Storage,2023-01-03 00:00:00,2024-12-31 23:59:59
28,PK-00028,Thunderbolt Dock,80,Accessories,2023-01-03 00:00:00,2024-12-31 23:59:59
29,PK-00029,Laser Printer,160,Electronics,2023-01-03 00:00:00,2024-12-31 23:59:59
30,PK-00030,Soundbar,120,Audio,2023-01-03 00:00:00,2024-12-31 23:59:59
31,PK-00031,Gaming Laptop,1500,Electronics,2023-01-04 00:00:00,2024-12-31 23:59:59
32,PK-00032,Gaming Headset,90,Audio,2023-01-04 00:00:00,2024-12-31 23:59:59
33,PK-00033,Mesh Wi-Fi System,180,Networking,2023-01-04 00:00:00,2024-12-31 23:59:59
34,PK-00034,Fitness Tracker,60,Wearables,2023-01-04 00:00:00,2024-12-31 23:59:59
35,PK-00035,Handheld Gaming Device,150,Gaming,2023-01-04 00:00:00,2024-12-31 23:59:59
36,PK-00036,Smart Home Hub,75,Smart Home,2023-01-04 00:00:00,2024-12-31 23:59:59
37,PK-00037,Mirrorless Camera,600,Photography,2023-01-04 00:00:00,2024-12-31 23:59:59
38,PK-00038,Professional Drone,400,Drones,2023-01-04 00:00:00,2024-12-31 23:59:59
39,PK-00039,Portable Speaker,40,Audio,2023-01-04 00:00:00,2024-12-31 23:59:59
40,PK-00040,Smart TV 55inch,450,Electronics,2023-01-04 00:00:00,2024-12-31 23:59:59
41,PK-00041,Workstation Desktop,1800,Electronics,2023-01-05 00:00:00,2024-12-31 23:59:59
42,PK-00042,Trackpad,70,Accessories,2023-01-05 00:00:00,2024-12-31 23:59:59
43,PK-00043,Mechanical Numeric Keypad,30,Accessories,2023-01-05 00:00:00,2024-12-31 23:59:59
44,PK-00044,Ultrawide Monitor,350,Electronics,2023-01-05 00:00:00,2024-12-31 23:59:59
45,PK-00045,Document Scanner,100,Office Equipment,2023-01-05 00:00:00,2024-12-31 23:59:59
46,PK-00046,File Cabinet,80,Office Furniture,2023-01-05 00:00:00,2024-12-31 23:59:59
47,PK-00047,NAS 4-Bay,300,Storage,2023-01-05 00:00:00,2024-12-31 23:59:59
48,PK-00048,Ethernet Switch,50,Networking,2023-01-05 00:00:00,2024-12-31 23:59:59
49,PK-00049,All-in-One Printer,220,Electronics,2023-01-05 00:00:00,2024-12-31 23:59:59
50,PK-00050,Studio Monitors,250,Audio,2023-01-05 00:00:00,2024-12-31 23:59:59
51,PK-00051,Thin Client,200,Electronics,2023-01-06 00:00:00,2024-12-31 23:59:59
52,PK-00052,Conference Speakerphone,150,Audio,2023-01-06 00:00:00,2024-12-31 23:59:59
53,PK-00053,Powerline Adapter,40,Networking,2023-01-06 00:00:00,2024-12-31 23:59:59
54,PK-00054,GPS Tracker,70,Navigation,2023-01-06 00:00:00,2024-12-31 23:59:59
55,PK-00055,Retro Game Console,60,Gaming,2023-01-06 00:00:00,2024-12-31 23:59:59
56,PK-00056,Smart Light Bulbs (4-pack),50,Smart Home,2023-01-06 00:00:00,2024-12-31 23:59:59
57,PK-00057,Portable Photo Printer,120,Photography,2023-01-06 00:00:00,2024-12-31 23:59:59
58,PK-00058,Underwater Drone,300,Drones,2023-01-06 00:00:00,2024-12-31 23:59:59
59,PK-00059,Noise Cancelling Earbuds,90,Audio,2023-01-06 00:00:00,2024-12-31 23:59:59
60,PK-00060,Portable Monitor,180,Electronics,2023-01-06 00:00:00,2024-12-31 23:59:59
61,PK-00061,Server Rack,1000,IT Infrastructure,2023-01-07 00:00:00,2024-12-31 23:59:59
62,PK-00062,Drawing Tablet,120,Accessories,2023-01-07 00:00:00,2024-12-31 23:59:59
63,PK-00063,USB Microphone,60,Audio,2023-01-07 00:00:00,2024-12-31 23:59:59
64,PK-00064,Gaming Monitor 144Hz,280,Electronics,2023-01-07 00:00:00,2024-12-31 23:59:59
65,PK-00065,Label Maker,40,Office Equipment,2023-01-07 00:00:00,2024-12-31 23:59:59
66,PK-00066,Whiteboard,30,Office Supplies,2023-01-07 00:00:00,2024-12-31 23:59:59
67,PK-00067,Cloud Storage Subscription,50,Software/Service,2023-01-07 00:00:00,2024-12-31 23:59:59
68,PK-00068,Network Attached Storage,200,Storage,2023-01-07 00:00:00,2024-12-31 23:59:59
69,PK-00069,Portable Scanner,70,Office Equipment,2023-01-07 00:00:00,2024-12-31 23:59:59
70,PK-00070,Home Theater System,400,Audio,2023-01-07 00:00:00,2024-12-31 23:59:59
71,PK-00071,Desktop PC Basic,600,Electronics,2023-01-08 00:00:00,2024-12-31 23:59:59
72,PK-00072,Wireless Charger,20,Accessories,2023-01-08 00:00:00,2024-12-31 23:59:59
73,PK-00073,Smart Pen,80,Accessories,2023-01-08 00:00:00,2024-12-31 23:59:59
74,PK-00074,Portable DVD Player,50,Electronics,2023-01-08 00:00:00,2024-12-31 23:59:59
75,PK-00075,Fitness Scale Smart,45,Health & Wellness,2023-01-08 00:00:00,2024-12-31 23:59:59
76,PK-00076,Smart Plug (4-pack),35,Smart Home,2023-01-08 00:00:00,2024-12-31 23:59:59
77,PK-00077,Security Camera Indoor,75,Security,2023-01-08 00:00:00,2024-12-31 23:59:59
78,PK-00078,Dash Cam,60,Automotive,2023-01-08 00:00:00,2024-12-31 23:59:59
79,PK-00079,VR Controller,40,Gaming,2023-01-08 00:00:00,2024-12-31 23:59:59
80,PK-00080,Digital Photo Frame,55,Electronics,2023-01-08 00:00:00,2024-12-31 23:59:59
81,PK-00081,Laptop Mid-Range,1000,Electronics,2023-01-09 00:00:00,2024-12-31 23:59:59
82,PK-00082,External DVD Drive,30,Accessories,2023-01-09 00:00:00,2024-12-31 23:59:59
83,PK-00083,Graphic Design Tablet,300,Accessories,2023-01-09 00:00:00,2024-12-31 23:59:59
84,PK-00084,Touchscreen Monitor,200,Electronics,2023-01-09 00:00:00,2024-12-31 23:59:59
85,PK-00085,Shredder Office,90,Office Equipment,2023-01-09 00:00:00,2024-12-31 23:59:59
86,PK-00086,Bookcase Office,70,Office Furniture,2023-01-09 00:00:00,2024-12-31 23:59:59
87,PK-00087,Portable HDD 2TB,80,Storage,2023-01-09 00:00:00,2024-12-31 23:59:59
88,PK-00088,Power Strip Smart,25,Accessories,2023-01-09 00:00:00,2024-12-31 23:59:59
89,PK-00089,Photo Printer,150,Electronics,2023-01-09 00:00:00,2024-12-31 23:59:59
90,PK-00090,Gaming Speakers,100,Audio,2023-01-09 00:00:00,2024-12-31 23:59:59
91,PK-00091,Chromebook,350,Electronics,2023-01-10 00:00:00,2024-12-31 23:59:59
92,PK-00092,True Wireless Earbuds,70,Audio,2023-01-10 00:00:00,2024-12-31 23:59:59
93,PK-00093,Network Extender,40,Networking,2023-01-10 00:00:00,2024-12-31 23:59:59
94,PK-00094,Smart Scale,55,Health & Wellness,2023-01-10 00:00:00,2024-12-31 23:59:59
95,PK-00095,Mini Projector,120,Electronics,2023-01-10 00:00:00,2024-12-31 23:59:59
96,PK-00096,Smart Thermostat,100,Smart Home,2023-01-10 00:00:00,2024-12-31 23:59:59
97,PK-00097,Outdoor Security Camera,120,Security,2023-01-10 00:00:00,2024-12-31 23:59:59
98,PK-00098,Car Mount Phone,15,Automotive,2023-01-10 00:00:00,2024-12-31 23:59:59
99,PK-00099,Retro Gaming Controller,25,Gaming,2023-01-10 00:00:00,2024-12-31 23:59:59
100,PK-00100,Portable Charger,30,Accessories,2023-01-10 00:00:00,2024-12-31 23:59:59
101,PK-00101,Laptop Ultraportable,1100,Electronics,2023-01-11 00:00:00,2024-12-31 23:59:59
102,PK-00102,Docking Station,150,Accessories,2023-01-11 00:00:00,2024-12-31 23:59:59
103,PK-00103,Ergonomic Mouse,35,Accessories,2023-01-11 00:00:00,2024-12-31 23:59:59
104,PK-00104,Ultrawide Curved Monitor,500,Electronics,2023-01-11 00:00:00,2024-12-31 23:59:59
105,PK-00105,Document Camera,180,Office Equipment,2023-01-11 00:00:00,2024-12-31 23:59:59
106,PK-00106,Safe Box Digital,90,Office Furniture,2023-01-11 00:00:00,2024-12-31 23:59:59
107,PK-00107,SSD Portable 2TB,190,Storage,2023-01-11 00:00:00,2024-12-31 23:59:59
108,PK-00108,Managed Switch,100,Networking,2023-01-11 00:00:00,2024-12-31 23:59:59
109,PK-00109,Thermal Printer,130,Electronics,2023-01-11 00:00:00,2024-12-31 23:59:59
110,PK-00110,Professional Headphones,250,Audio,2023-01-11 00:00:00,2024-12-31 23:59:59
111,PK-00111,Convertible Laptop,950,Electronics,2023-01-12 00:00:00,2024-12-31 23:59:59
112,PK-00112,Bluetooth Headset,60,Audio,2023-01-12 00:00:00,2024-12-31 23:59:59
113,PK-00113,Wi-Fi Repeater,25,Networking,2023-01-12 00:00:00,2024-12-31 23:59:59
114,PK-00114,Smart Ring,150,Wearables,2023-01-12 00:00:00,2024-12-31 23:59:59
115,PK-00115,Arcade Stick,80,Gaming,2023-01-12 00:00:00,2024-12-31 23:59:59
116,PK-00116,Smart Doorbell,110,Smart Home,2023-01-12 00:00:00,2024-12-31 23:59:59
117,PK-00117,CCTV Camera,90,Security,2023-01-12 00:00:00,2024-12-31 23:59:59
118,PK-00118,Portable Jump Starter,70,Automotive,2023-01-12 00:00:00,2024-12-31 23:59:59
119,PK-00119,Flight Stick,60,Gaming,2023-01-12 00:00:00,2024-12-31 23:59:59
120,PK-00120,Digital Voice Recorder,40,Audio,2023-01-12 00:00:00,2024-12-31 23:59:59
121,PK-00121,Desktop PC Gaming,1400,Electronics,2023-01-13 00:00:00,2024-12-31 23:59:59
